,Tipo,Distrito,Cuartos,Vacantes,Suites,Area,Valor,Mantenimiento,Impuesto
734,Local comercial,Pachacámac,0,36,0,1897,151760.0,48506.0,8223.0
735,Local comercial,Pachacámac,0,0,0,104,2230.0,4009.0,172.0
736,Tienda en Centro Comercial,Ate,0,1,0,30,800.0,950.0,150.0
737,Tienda/Salón,Ate,0,2,0,202,8000.0,4300.0,3370.0
738,Local comercial,Pachacámac,0,0,0,90,1500.0,1100.0,180.0
739,Local comercial,Ate,0,0,0,36,2000.0,700.0,
740,Local comercial,Lurigancho,0,0,0,24,900.0,300.0,
741,Local comercial,Comas,0,2,0,60,1200.0,780.0,
742,Local comercial,Lince,0,0,0,23,800.0,600.0,
743,Local comercial,Ventanilla,0,1,0,25,1000.0,800.0,
744,Local comercial,Pachacámac,0,0,0,414,16000.0,7534.0,1300.0
745,Local comercial,Lince,0,0,0,40,800.0,455.0,
746,Local comercial,Pachacámac,0,0,0,33,750.0,619.0,124.0
747,Local comercial,Chaclacayo,0,0,0,27,600.0,336.0,
748,Local comercial,Callao,0,1,0,19,600.0,450.0,
749,Local comercial,Jesús María,0,1,0,26,2000.0,259.0,148.0
750,Local comercial,Lince,0,1,0,22,1200.0,790.0,100.0
751,Local comercial,Pachacámac,0,0,0,73,1400.0,852.0,
752,Local comercial,San Isidro,0,0,0,29,580.0,480.0,60.0
753,Local comercial,Villa El Salvador,0,3,0,174,14782.0,4294.0,826.0
754,Local comercial,Barranco,0,1,0,23,400.0,400.0,
755,Local comercial,Callao,0,1,0,28,950.0,330.0,
756,Local comercial,Jesús María,0,0,0,2132,255840.0,,
757,Local comercial,Pachacámac,0,0,0,1354,81240.0,93686.0,21080.0
758,Local comercial,Pachacámac,0,18,0,957,86089.0,26534.0,2630.0
759,Local comercial,Callao,0,1,0,52,2000.0,979.0,600.0
760,Tienda/Salón,Ate,0,2,0,80,,,
761,Casa comercial,Ate,0,4,0,360,8500.0,,160.0
762,Tienda/Salón,Ventanilla,0,0,0,130,3500.0,,
763,Tienda/Salón,Chorrillos,0,0,0,180,6800.0,625.0,
764,Tienda en Centro Comercial,Ate,0,0,0,32,1300.0,505.0,128.0
765,Local comercial,Pachacámac,0,0,0,488,24400.0,7320.0,
766,Local comercial,San Miguel,0,0,0,50,2200.0,2000.0,749.0
767,Tienda/Salón,Chaclacayo,0,1,0,55,1500.0,,75.0
768,Local comercial,Ate,0,4,0,190,15000.0,5779.0,1372.0
769,Local comercial,Pachacámac,0,0,0,410,24000.0,5688.0,980.0
770,Local comercial,Callao,0,0,0,25,1000.0,200.0,
771,Local comercial,Ate,0,1,0,76,4000.0,1500.0,
772,Local comercial,Jesús María,0,1,0,48,1800.0,700.0,220.0
773,Tienda/Salón,Lurín,0,0,0,36,1400.0,512.0,
774,Local comercial,Pachacámac,0,0,0,40,1600.0,365.0,97.0
775,Local comercial,Pachacámac,0,0,0,530,28000.0,10504.0,1578.0
776,Local comercial,Pachacámac,0,0,0,128,2800.0,1740.0,490.0
777,Almacén,Punta Negra,0,0,0,400,5500.0,,
778,Tienda en Centro Comercial,Pachacámac,0,0,0,50,1800.0,,
779,Local comercial,Ate,0,1,0,30,980.0,1009.0,164.0
780,Local comercial,Ate,0,1,0,54,3800.0,10482.0,
781,Tienda/Salón,La Victoria,0,0,0,70,2000.0,,
782,Tienda/Salón,Chorrillos,0,0,0,100,5000.0,393.0,782.0
783,Local comercial,Pachacámac,0,15,0,5666,530000.0,1.0,1.0
784,Local comercial,Ate,0,1,0,22,600.0,600.0,100.0
785,Local comercial,Comas,0,1,0,115,11000.0,4400.0,1200.0
786,Local comercial,Chorrillos,0,1,0,50,5000.0,1700.0,2064.0
787,Local comercial,Pachacámac,0,4,0,288,8000.0,5688.0,1419.0
788,Local comercial,Pachacámac,0,0,0,374,29920.0,9350.0,1496.0
789,Local comercial,Jesús María,0,1,0,24,1000.0,,
790,Local comercial,Ate,0,2,0,49,2200.0,1600.0,
791,Local comercial,Pachacámac,0,0,0,28,250.0,427.0,84.0
792,Local comercial,Ate,0,6,0,200,10000.0,3600.0,
793,Local comercial,Ate,0,1,0,30,700.0,1009.0,164.0
794,Local comercial,Ate,0,2,0,30,800.0,850.0,200.0
795,Local comercial,San Martín de Porres,0,1,0,29,1200.0,650.0,360.0
796,Almacén,San Luis,0,10,0,1209,14000.0,,5100.0
797,Local comercial,Ventanilla,0,0,0,21,400.0,400.0,346.0
798,Local comercial,La Punta,0,0,0,110,1600.0,1450.0,
799,Local comercial,Lince,0,0,0,50,2300.0,400.0,
800,Tienda/Salón,San Luis,0,10,0,6544,59000.0,,13500.0
801,Tienda/Salón,Comas,0,0,0,30,2500.0,730.0,290.0
802,Local comercial,Ate,0,1,0,44,1000.0,900.0,280.0
803,Local comercial,Pachacámac,0,0,0,160,2200.0,1960.0,340.0
804,Local comercial,Pachacámac,0,0,0,678,30000.0,9994.0,3030.0
805,Local comercial,Puente Piedra,0,1,0,28,1200.0,606.0,60.0
806,Local comercial,Ate,0,1,0,50,2000.0,1180.0,193.0
807,Local comercial,Jesús María,0,16,0,1005,50250.0,15465.0,6586.0
808,Local comercial,San Borja,0,0,0,44,1800.0,698.0,170.0
809,Tienda en Centro Comercial,La Perla,0,0,0,60,12000.0,6500.0,
810,Local comercial,Ate,0,2,0,65,2000.0,1590.0,110.0
811,Local comercial,Ventanilla,0,1,0,22,800.0,526.0,50.0
