,Tipo,Distrito,Cuartos,Vacantes,Suites,Area,Valor,Mantenimiento,Impuesto
18764,Departamento,Punta Hermosa,3,1,0,119,3000.0,1050.0,185.0
18765,Departamento,Villa El Salvador,4,1,1,220,5300.0,1305.0,315.0
18766,Departamento,Lurín,2,1,1,75,2300.0,725.0,115.0
18767,Departamento,Ate,2,1,1,64,2000.0,1023.0,174.0
18768,Departamento,Rímac,2,2,1,117,7000.0,2750.0,
18769,Habitación,Villa El Salvador,1,0,0,23,1300.0,420.0,25.0
18770,Departamento,Jesús María,2,1,1,80,1800.0,890.0,129.0
18771,Departamento,San Isidro,3,1,1,60,1200.0,460.0,
18772,Departamento,Ate,4,3,3,550,24000.0,8000.0,2000.0
18773,Departamento,Villa El Salvador,2,0,0,75,2000.0,600.0,80.0
18774,Departamento,Rímac,3,2,1,170,7300.0,2340.0,540.0
18775,Departamento,Ate,3,2,3,116,4200.0,1550.0,370.0
18776,Departamento,La Punta,3,1,1,75,1500.0,590.0,
18777,Casa,El Agustino,1,0,0,35,700.0,,
18778,Departamento,San Borja,2,0,0,80,2700.0,620.0,150.0
18779,Edificio completo,Pachacámac,0,0,0,725,40000.0,,
18780,Edificio completo,Ate,0,0,0,439,30000.0,150.0,2141.0
18781,Departamento,Comas,3,2,1,160,6300.0,2200.0,495.0
18782,Departamento,San Borja,2,1,1,70,3000.0,850.0,120.0
18783,Departamento,Callao,2,1,0,50,880.0,297.0,14.0
18784,Departamento,Chorrillos,3,2,1,130,3000.0,1210.0,
18785,Departamento,Ventanilla,2,0,0,74,1450.0,240.0,22.0
18786,Departamento,Santa María del Mar,2,0,0,60,1000.0,410.0,13.0
18787,Departamento,San Borja,3,1,1,95,2200.0,1330.0,169.0
18788,Departamento,Pueblo Libre,3,3,2,250,14000.0,3500.0,980.0
18789,Departamento,Santa Anita,3,0,0,70,1400.0,310.0,38.0
18790,Departamento,San Borja,2,1,0,110,1350.0,355.0,67.0
18791,Casa en condominio,La Punta,3,1,2,155,2500.0,,
18792,Departamento,Punta Hermosa,2,1,1,76,2700.0,985.0,
18793,Departamento,Rímac,4,1,2,160,11000.0,2804.0,
18794,Departamento,San Luis,2,1,1,106,1900.0,621.0,146.0
18795,Departamento,Ate,2,1,1,72,1400.0,700.0,57.0
18796,Departamento,San Martín de Porres,1,0,0,70,520.0,,25.0
18797,Departamento,El Agustino,2,1,0,69,900.0,250.0,
18798,Departamento,Santa Anita,2,0,0,101,1350.0,650.0,106.0
18799,Departamento,San Bartolo,2,0,1,100,7000.0,650.0,90.0
18800,Flat,Ate,1,1,1,40,3000.0,,
18801,Departamento,Pachacámac,1,0,0,45,1700.0,300.0,25.0
18802,Habitación,San Miguel,1,0,0,28,1500.0,390.0,30.0
18803,Departamento,Ate,3,2,1,110,3300.0,1450.0,240.0
18804,Departamento,Comas,4,2,1,300,14000.0,2900.0,
18805,Departamento,Ate,4,2,1,150,5500.0,1900.0,3200.0
18806,Departamento,Ate,4,4,4,262,10000.0,2500.0,800.0
18807,Departamento,San Luis,1,1,0,60,1800.0,514.0,81.0
18808,Departamento,Los Olivos,2,1,0,65,1200.0,750.0,15.0
18809,Departamento,Chorrillos,2,1,1,130,3000.0,950.0,
18810,Departamento,Punta Hermosa,4,3,2,280,13000.0,25784.0,1423.0
18811,Departamento,Jesús María,4,2,1,200,3000.0,1000.0,450.0
18812,Departamento,Chorrillos,2,1,1,50,5400.0,,
18813,Departamento,San Borja,3,1,1,200,5000.0,1500.0,323.0
18814,Habitación,San Borja,1,0,0,40,1300.0,528.0,25.0
18815,Departamento,San Borja,4,1,1,210,7000.0,1750.0,
18816,Departamento,Lurigancho,2,2,1,74,2950.0,1423.0,252.0
18817,Departamento,Ate,3,2,1,98,3000.0,1100.0,200.0
18818,Habitación,Villa El Salvador,0,0,0,25,1000.0,387.0,24.0
18819,Casa en condominio,Ate,5,0,2,487,13500.0,1450.0,993.0
18820,Departamento,Chorrillos,2,1,1,100,3000.0,715.0,178.0
18821,Departamento,Ate,4,2,1,160,9500.0,2000.0,800.0
18822,Departamento,Jesús María,3,1,1,75,1500.0,890.0,139.0
18823,Departamento,San Miguel,2,1,0,71,2100.0,700.0,24.0
18824,Departamento,Jesús María,2,1,1,68,1700.0,780.0,125.0
18825,Departamento,Santa Rosa,2,1,1,90,1500.0,759.0,1100.0
18826,Departamento,San Borja,3,0,1,160,4000.0,1300.0,200.0
18827,Departamento,Rímac,1,1,0,70,3000.0,623.0,121.0
18828,Departamento,Lince,2,1,0,60,750.0,280.0,
18829,Departamento,San Borja,3,1,0,140,3500.0,1526.0,130.0
18830,Departamento,Pueblo Libre,2,1,1,76,4500.0,945.0,326.0
18831,Departamento,Comas,2,1,1,205,11000.0,1880.0,632.0
18832,Departamento,Mi Perú,3,0,0,88,1400.0,750.0,82.0
18833,Departamento,Ate,3,3,3,230,20000.0,4500.0,
18834,Habitación,San Borja,1,0,0,21,900.0,358.0,58.0
18835,Departamento,San Borja,3,0,0,107,3500.0,900.0,160.0
18836,Departamento,Ate,3,1,3,200,3000.0,1300.0,
18837,Departamento,Lince,2,1,0,75,1400.0,720.0,620.0
18838,Departamento,Ate,3,2,1,90,2700.0,1500.0,330.0
18839,Departamento,La Perla,2,1,0,86,2990.0,518.0,241.0
18840,Departamento,Jesús María,2,2,2,99,1700.0,890.0,
18841,Departamento,Ate,3,2,1,212,5500.0,1200.0,650.0
18842,Departamento,Lince,3,1,1,94,1600.0,680.0,128.0
18843,Departamento,Jesús María,2,2,1,150,2100.0,809.0,298.0
18844,Departamento,Jesús María,3,2,1,129,3500.0,827.0,2978.0
18845,Edificio completo,Lurín,0,6,0,671,73810.0,13420.0,
18846,Departamento,San Borja,3,3,1,240,6000.0,2500.0,
18847,Departamento,Comas,2,0,0,99,4700.0,970.0,
18848,Departamento,San Luis,1,0,0,40,800.0,,13.0
18849,Departamento,Ate,3,2,0,117,4500.0,990.0,624.0
18850,Departamento,Jesús María,2,2,1,79,2800.0,,
18851,Departamento,San Bartolo,2,1,0,85,6500.0,700.0,203.0
18852,Departamento,Mi Perú,1,0,0,50,1400.0,295.0,20.0
18853,Departamento,Ate,3,0,3,326,6000.0,2000.0,500.0
18854,Departamento,Rímac,3,1,1,101,3900.0,1500.0,
18855,Departamento,Magdalena del Mar,3,4,0,100,2300.0,507.0,114.0
18856,Departamento,Comas,2,1,1,85,12000.0,4000.0,250.0
18857,Departamento,Jesús María,2,1,1,75,2200.0,670.0,20.0
18858,Departamento,Ate,4,3,2,270,11000.0,3700.0,633.0
18859,Departamento,San Borja,1,0,0,40,6000.0,,
18860,Departamento,San Borja,2,0,0,70,2000.0,922.0,122.0
18861,Habitación,Villa El Salvador,1,0,0,30,1700.0,390.0,29.0
18862,Departamento,La Punta,2,1,1,80,1350.0,700.0,106.0
18863,Casa,San Juan de Miraflores,2,1,0,50,700.0,200.0,
18864,Departamento,Ate,4,3,0,352,10000.0,4200.0,
18865,Departamento,Villa El Salvador,1,1,1,64,2700.0,980.0,
18866,Departamento,San Borja,2,0,2,120,6950.0,990.0,
18867,Departamento,Comas,4,4,2,160,18000.0,2241.0,620.0
18868,Departamento,Ate,3,2,3,105,3000.0,1500.0,270.0
18869,Departamento,Ate,2,1,1,66,2000.0,780.0,187.0
18870,Departamento,Comas,3,1,1,120,5000.0,1600.0,170.0
18871,Departamento,Rímac,2,1,1,90,5000.0,1900.0,
18872,Departamento,Punta Hermosa,3,2,1,180,5800.0,1800.0,170.0
18873,Departamento,Callao,2,1,1,62,1700.0,1.0,1.0
18874,Departamento,Pueblo Libre,3,2,1,150,9000.0,2970.0,493.0
18875,Departamento,Chorrillos,3,1,1,88,4200.0,1200.0,130.0
18876,Departamento,Rímac,5,1,2,250,15000.0,800.0,1000.0
18877,Departamento,San Miguel,3,0,1,88,2100.0,880.0,
18878,Departamento,Ate,3,3,3,400,6500.0,2010.0,1218.0
18879,Casa,Mi Perú,7,2,1,268,3300.0,,430.0
18880,Casa,El Agustino,1,0,0,45,850.0,,
18881,Casa,Lince,4,0,0,159,1800.0,,
18882,Departamento,San Borja,4,0,0,255,5000.0,2400.0,455.0
18883,Departamento,Jesús María,2,1,1,72,2000.0,890.0,160.0
18884,Edificio completo,Ate,0,99,0,8467,677360.0,194741.0,59269.0
18885,Departamento,Punta Hermosa,2,1,0,65,2800.0,600.0,150.0
18886,Departamento,Jesús María,3,2,2,190,5500.0,800.0,432.0
18887,Departamento,Callao,2,1,1,98,1800.0,646.0,800.0
18888,Departamento,Ate,3,2,2,85,2800.0,953.0,187.0
18889,Departamento,Callao,2,1,0,50,750.0,530.0,
18890,Casa de villa,La Molina,2,0,0,41,1200.0,,40.0
18891,Departamento,Ate,3,3,1,120,6500.0,2600.0,680.0
18892,Departamento,Punta Hermosa,2,1,1,78,3000.0,703.0,2973.0
18893,Casa en condominio,Jesús María,3,2,1,285,6500.0,1593.0,
18894,Casa en condominio,Ate,4,4,2,660,30000.0,1150.0,13990.0
18895,Departamento,San Miguel,2,0,0,70,1300.0,493.0,20.0
18896,Departamento,Chorrillos,3,0,1,80,2400.0,650.0,114.0
18897,Departamento,Punta Hermosa,2,2,2,110,4500.0,2357.0,735.0
18898,Departamento,Ventanilla,3,1,0,77,1500.0,669.0,77.0
18899,Departamento,Chorrillos,1,0,0,25,1800.0,,
18900,Departamento,Santa Rosa,2,0,0,48,1100.0,250.0,17.0
18901,Departamento,Lurín,2,0,0,71,2200.0,750.0,109.0
18902,Departamento,Jesús María,3,2,1,140,2900.0,905.0,258.0
18903,Departamento,San Miguel,3,0,0,61,1500.0,300.0,50.0
18904,Departamento,San Bartolo,2,0,0,75,2600.0,760.0,137.0
18905,Departamento,Rímac,4,2,2,155,7200.0,1900.0,732.0
18906,Casa en condominio,Ate,4,4,4,900,25000.0,1308.0,1601.0
18907,Departamento,Ate,3,2,3,112,1400.0,1400.0,900.0
18908,Departamento,Villa El Salvador,3,1,1,252,9500.0,1628.0,573.0
18909,Departamento,Rímac,3,2,1,147,7500.0,1000.0,381.0
18910,Departamento,La Punta,2,1,1,58,1090.0,450.0,
18911,Departamento,San Borja,2,0,0,70,2500.0,615.0,130.0
18912,Departamento,Rímac,4,2,4,230,12500.0,2710.0,1625.0
18913,Departamento,Comas,4,3,2,546,42000.0,6400.0,1900.0
18914,Departamento,Ate,3,2,1,114,3500.0,1900.0,260.0
18915,Departamento,Chaclacayo,3,1,1,90,1800.0,790.0,104.0
18916,Departamento,Comas,3,3,1,300,22000.0,4000.0,
18917,Departamento,Rímac,2,1,1,80,5500.0,1650.0,352.0
18918,Departamento,San Borja,1,0,0,40,1600.0,342.0,
18919,Departamento,San Miguel,2,1,0,60,1200.0,590.0,24.0
18920,Departamento,Chorrillos,1,1,0,36,2900.0,1020.0,172.0
18921,Departamento,Ate,1,1,0,61,1600.0,1700.0,350.0
18922,Departamento,Ate,1,1,0,60,1500.0,862.0,140.0
18923,Departamento,Comas,2,1,1,85,6500.0,750.0,200.0
18924,Departamento,Chorrillos,1,1,0,40,1950.0,614.0,56.0
18925,Departamento,Ate,1,1,0,65,1800.0,1750.0,288.0
18926,Departamento,Punta Hermosa,3,1,0,90,2200.0,640.0,118.0
18927,Departamento,San Borja,2,0,0,50,1000.0,200.0,36.0
18928,Habitación,Pachacámac,1,0,0,19,600.0,308.0,25.0
18929,Departamento,Ate,3,2,1,127,3200.0,2200.0,390.0
18930,Departamento,Rímac,2,2,1,160,10000.0,1600.0,400.0
18931,Casa en condominio,La Perla,6,3,6,1500,16000.0,2000.0,5500.0
18932,Departamento,Jesús María,1,1,1,100,4500.0,1500.0,200.0
18933,Departamento,San Miguel,4,1,0,168,3500.0,660.0,
18934,Casa de villa,Los Olivos,1,0,0,40,850.0,,
18935,Departamento,Comas,4,2,2,240,16300.0,3717.0,902.0
18936,Casa en condominio,Ate,5,6,5,800,18000.0,1600.0,2400.0
18937,Flat,Rímac,2,1,1,62,6500.0,2438.0,416.0
18938,Departamento,Callao,3,1,1,75,1400.0,695.0,81.0
18939,Casa,Lince,3,1,3,114,1500.0,,
18940,Casa,Lince,4,0,2,324,3000.0,,
18941,Departamento,Punta Hermosa,1,1,1,50,2500.0,697.0,
18942,Departamento,Ate,2,1,1,69,2200.0,970.0,68.0
18943,Departamento,San Borja,4,1,1,330,9000.0,2800.0,37.0
18944,Departamento,Comas,3,1,1,75,1300.0,697.0,
18945,Habitación,Pachacámac,1,0,0,34,750.0,420.0,21.0
18946,Departamento,Villa El Salvador,3,1,1,130,3500.0,1470.0,270.0
18947,Casa en condominio,Ate,5,3,2,400,8500.0,860.0,780.0
18948,Departamento,Comas,3,2,1,150,7000.0,1800.0,340.0
18949,Departamento,San Borja,3,1,1,190,8500.0,1400.0,4200.0
18950,Casa en condominio,Ate,4,3,4,466,7400.0,2695.0,1283.0
18951,Departamento,San Miguel,2,0,0,80,1800.0,300.0,95.0
18952,Casa,San Miguel,2,0,0,52,950.0,100.0,11.0
18953,Departamento,Callao,2,1,1,70,1700.0,630.0,1061.0
18954,Departamento,San Borja,1,0,1,47,1915.0,670.0,70.0
18955,Departamento,Pachacámac,1,0,0,45,1200.0,305.0,46.0
18956,Departamento,Jesús María,3,1,1,80,2000.0,,
18957,Departamento,San Borja,4,1,1,160,3300.0,1700.0,228.0
18958,Edificio completo,Callao,0,35,0,1350,50000.0,,3000.0
18959,Departamento,Magdalena del Mar,2,0,0,87,1150.0,570.0,
18960,Departamento,San Miguel,2,1,0,65,1700.0,577.0,65.0
18961,Departamento,San Luis,3,2,1,75,1900.0,813.0,83.0
18962,Departamento,La Punta,1,0,1,39,1200.0,600.0,30.0
18963,Departamento,Villa El Salvador,2,1,0,70,2300.0,800.0,
18964,Departamento,La Perla,4,3,2,230,6000.0,3200.0,
18965,Departamento,Jesús María,4,2,2,170,2800.0,1540.0,250.0
18966,Departamento,La Perla,5,2,1,290,5000.0,3161.0,448.0
18967,Departamento,Jesús María,2,1,1,85,2100.0,1050.0,130.0
18968,Departamento,San Miguel,2,0,0,72,2500.0,550.0,90.0
18969,Departamento,Ventanilla,4,2,1,78,2600.0,700.0,
18970,Departamento,Chorrillos,3,1,2,180,4500.0,1800.0,360.0
18971,Departamento,Villa El Salvador,2,1,2,120,4500.0,2000.0,290.0
18972,Departamento,Santa Rosa,3,1,0,60,1000.0,785.0,
18973,Departamento,Villa El Salvador,3,1,1,101,2900.0,846.0,245.0
18974,Departamento,Jesús María,2,1,1,65,1500.0,1030.0,170.0
18975,Departamento,Rímac,1,0,0,86,2000.0,690.0,180.0
18976,Departamento,Lince,3,1,0,80,900.0,228.0,13.0
18977,Departamento,Lince,2,1,0,48,650.0,261.0,
18978,Departamento,Comas,4,2,1,350,21000.0,2800.0,525.0
18979,Habitación,Villa El Salvador,0,0,0,25,1000.0,379.0,95.0
18980,Habitación,Villa El Salvador,1,0,0,29,1900.0,474.0,108.0
18981,Departamento,San Miguel,2,0,0,66,1550.0,398.0,87.0
18982,Flat,Pueblo Libre,3,1,1,123,5500.0,1070.0,555.0
18983,Habitación,San Bartolo,1,0,0,23,600.0,445.0,
18984,Casa,Jesús María,5,3,5,400,12000.0,,2200.0
18985,Casa,Callao,2,0,0,150,3300.0,,860.0
18986,Flat,Ate,2,1,2,73,2900.0,2112.0,
18987,Departamento,San Miguel,3,1,1,110,2500.0,800.0,
18988,Departamento,Chorrillos,3,0,1,109,3600.0,887.0,1833.0
18989,Departamento,San Miguel,2,1,0,70,1650.0,680.0,
18990,Departamento,Ate,3,2,2,270,5000.0,4050.0,
18991,Departamento,Jesús María,4,3,4,440,6000.0,1200.0,4200.0
18992,Departamento,Ate,2,1,1,66,1900.0,1100.0,200.0
18993,Casa en condominio,Jesús María,4,2,4,175,4250.0,900.0,353.0
18994,Departamento,Comas,3,1,2,90,6000.0,1021.0,207.0
18995,Departamento,Rímac,2,1,1,72,3100.0,1000.0,230.0
18996,Departamento,Pachacámac,1,0,0,31,1200.0,354.0,
18997,Departamento,Chorrillos,3,2,1,120,6500.0,1450.0,300.0
18998,Habitación,San Borja,1,0,0,30,2500.0,440.0,
18999,Departamento,Ate,4,4,4,466,15000.0,4700.0,11890.0
19000,Habitación,San Borja,1,0,0,30,1200.0,520.0,70.0
19001,Departamento,Lince,2,1,0,68,1300.0,,
19002,Departamento,Mi Perú,1,0,0,48,1300.0,193.0,
19003,Departamento,Ventanilla,2,1,1,65,1900.0,,
19004,Departamento,Punta Hermosa,3,1,0,130,3000.0,1084.0,185.0
19005,Departamento,Lince,2,1,0,65,800.0,600.0,
19006,Departamento,Santa Anita,2,1,1,63,1300.0,645.0,55.0
19007,Departamento,San Isidro,2,0,0,50,1000.0,300.0,
19008,Departamento,San Borja,3,0,1,100,4000.0,940.0,210.0
19009,Departamento,San Miguel,2,1,0,68,2100.0,750.0,100.0
19010,Departamento,San Borja,3,1,1,120,4500.0,,
19011,Departamento,Comas,3,2,1,150,6300.0,2200.0,495.0
19012,Departamento,Comas,2,1,1,95,7700.0,4000.0,395.0
19013,Departamento,San Borja,4,2,1,389,13640.0,3825.0,1379.0
19014,Departamento,Comas,2,1,2,74,13000.0,3800.0,2940.0
19015,Departamento,Ate,4,3,3,170,7000.0,1950.0,3500.0
19016,Casa en condominio,San Isidro,2,0,0,70,900.0,,68.0
19017,Departamento,Lince,3,1,0,56,900.0,780.0,
19018,Casa,Lurigancho,5,4,4,845,35000.0,,
19019,Departamento,Lurín,2,1,1,90,3000.0,825.0,245.0
19020,Casa,Cieneguilla,4,1,0,99,1800.0,,
19021,Departamento,Ate,1,1,0,50,2000.0,958.0,335.0
19022,Departamento,Jesús María,2,2,0,180,1800.0,741.0,410.0
19023,Departamento,Jesús María,3,2,1,108,1600.0,770.0,271.0
19024,Habitación,San Borja,1,0,0,36,1000.0,503.0,57.0
19025,Departamento,San Borja,1,0,0,62,1800.0,838.0,13.0
19026,Cochera,Pachacámac,0,1,0,17,170.0,,57.0
19027,Departamento,Rímac,4,2,2,380,20000.0,4800.0,1000.0
19028,Departamento,Chorrillos,1,0,0,65,2000.0,700.0,
19029,Departamento,San Borja,3,1,0,75,3000.0,700.0,120.0
19030,Departamento,Ate,2,2,1,174,2300.0,1600.0,450.0
